continent,country,date,total_cases_per_million,total_deaths_per_million,population,population_density
Oceania,Australia,2020/11/1,1081.966,35.569,25499881,3.202
Europe,Austria,2020/11/1,11834.251,121.802,9006400,106.749
Asia,Bahrain,2020/11/1,47981.791,188.648,1701583,1935.907
Asia,Bangladesh,2020/11/1,2475.472,35.965,164689383,1265.036
Europe,Belarus,2020/11/1,10422.125,103.711,9449321,46.858
Europe,Belgium,2020/11/1,38710.17,1022.812,11589616,375.564
South America,Bolivia,2020/11/1,12143.977,747.45,11673029,10.202
South America,Brazil,2020/11/1,26042.625,752.185,212559409,25.04
Europe,Bulgaria,2020/11/1,7605.155,184.07,6948445,65.18
North America,Canada,2020/11/1,6213.503,268.559,37742157,4.037
South America,Chile,2020/11/1,26692.322,743.191,19116209,24.282
Asia,China,2020/11/1,63.449,3.293,1439323774,147.674
South America,Colombia,2020/11/1,21110.91,615.413,50882884,44.223
North America,Costa Rica,2020/11/1,21587.856,271.882,5094114,96.079
Africa,Cote d'Ivoire,2020/11/1,785.343,4.777,26378275,76.399
Europe,Croatia,2020/11/1,12012.858,133,4105268,73.726
Europe,Cyprus,2020/11/1,4984.593,29.684,875899,127.657
Europe,Czech Republic,2020/11/1,31291.676,303.577,10708982,137.176
Europe,Denmark,2020/11/1,8002.309,124.478,5792203,136.52
North America,Dominican Republic,2020/11/1,11708.99,206.952,10847904,222.873
South America,Ecuador,2020/11/1,9533.04,718.129,17643060,66.939
North America,El Salvador,2020/11/1,5156.331,150.936,6486201,307.811
Europe,Estonia,2020/11/1,3697.592,55.03,1326539,31.033
Africa,Ethiopia,2020/11/1,836.517,12.778,114963583,104.957
Europe,Finland,2020/11/1,2908.107,64.613,5540718,18.136
Europe,Germany,2020/11/1,6360.765,125.096,83783945,237.016
Africa,Ghana,2020/11/1,1548.743,10.298,31072945,126.719
Europe,Greece,2020/11/1,3765.786,60.059,10423056,83.479
North America,Guatemala,2020/11/1,6024.872,208.143,17915567,157.834
Europe,Hungary,2020/11/1,8198.357,188.295,9660350,108.043
Europe,Iceland,2020/11/1,14256.41,35.165,341250,3.404
Asia,India,2020/11/1,5930.475,88.486,1380004385,450.419
Asia,Indonesia,2020/11/1,1499.278,50.705,273523621,145.725
Asia,Iran,2020/11/1,7295.517,415.082,83992953,49.831
Asia,Iraq,2020/11/1,11750.388,271.241,40222503,88.125
Europe,Ireland,2020/11/1,12446.039,387.42,4937796,69.874
Asia,Israel,2020/11/1,36334.875,293.569,8655541,402.606
Europe,Italy,2020/11/1,11237.338,638.717,60461828,205.859
North America,Jamaica,2020/11/1,3071.093,69.567,2961161,266.879
Asia,Japan,2020/11/1,799.722,13.963,126476458,347.778
Asia,Jordan,2020/11/1,7116.143,81.249,10203140,109.285
Asia,Kazakhstan,2020/11/1,8008.859,118.604,18776707,6.681
Africa,Kenya,2020/11/1,1026.421,18.523,53771300,87.324
Asia,Kuwait,2020/11/1,29486.979,182.412,4270563,232.128
Europe,Latvia,2020/11/1,3124.798,37.642,1886202,31.212
Europe,Lithuania,2020/11/1,5445.413,60.611,2722291,45.135
Europe,Luxembourg,2020/11/1,28648.063,250.808,625976,231.447
