continent,country,date,total_cases_per_million,total_deaths_per_million,population,population_density
Asia,Afghanistan,2020/11/1,1066.087,39.457,38928341,54.422
Europe,Albania,2020/11/1,7253.805,176.871,2877800,104.871
Africa,Algeria,2020/11/1,1321.337,44.788,43851043,17.348
Europe,Andorra,2020/11/1,61554.391,970.685,77265,163.755
Africa,Angola,2020/11/1,321.241,8.489,32866268,23.89
North America,Anguilla,2020/11/1,199.973,,15002,
North America,Antigua and Barbuda,2020/11/1,1307.083,30.635,97928,231.845
South America,Argentina,2020/11/1,25819.027,685.949,45195777,16.177
Asia,Armenia,2020/11/1,31132.877,459.97,2963234,102.931
North America,Aruba,2020/11/1,42270.011,355.919,106766,584.8
Oceania,Australia,2020/11/1,1081.966,35.569,25499881,3.202
Europe,Austria,2020/11/1,11834.251,121.802,9006400,106.749
Asia,Azerbaijan,2020/11/1,5451.035,71.998,10139175,119.309
North America,Bahamas,2020/11/1,17073.196,366.181,393248,39.497
Asia,Bahrain,2020/11/1,47981.791,188.648,1701583,1935.907
Asia,Bangladesh,2020/11/1,2475.472,35.965,164689383,1265.036
North America,Barbados,2020/11/1,824.718,24.359,287371,664.463
Europe,Belarus,2020/11/1,10422.125,103.711,9449321,46.858
Europe,Belgium,2020/11/1,38710.17,1022.812,11589616,375.564
North America,Belize,2020/11/1,8706.784,145.868,397621,16.426
Africa,Benin,2020/11/1,218.012,3.382,12123198,99.11
North America,Bermuda,2020/11/1,3195.606,144.525,62273,1308.82
Asia,Bhutan,2020/11/1,452.3,,771612,21.188
South America,Bolivia,2020/11/1,12143.977,747.45,11673029,10.202
North America,Bonaire Sint Eustatius and Saba,2020/11/1,5835.018,114.412,26221,
Europe,Bosnia and Herzegovina,2020/11/1,15267.548,376.126,3280815,68.496
Africa,Botswana,2020/11/1,2824.43,10.206,2351625,4.044
South America,Brazil,2020/11/1,26042.625,752.185,212559409,25.04
North America,British Virgin Islands,2020/11/1,2381.189,33.072,30237,207.973
Asia,Brunei,2020/11/1,338.299,6.857,437483,81.347
Europe,Bulgaria,2020/11/1,7605.155,184.07,6948445,65.18
Africa,Burkina Faso,2020/11/1,119.598,3.205,20903278,70.151
Africa,Burundi,2020/11/1,49.198,0.084,11890781,423.062
Asia,Cambodia,2020/11/1,17.405,,16718971,90.672
Africa,Cameroon,2020/11/1,820.957,16.048,26545864,50.885
North America,Canada,2020/11/1,6213.503,268.559,37742157,4.037
Africa,Cape Verde,2020/11/1,15815.09,170.867,555988,135.58
North America,Cayman Islands,2020/11/1,3651.856,15.216,65720,256.496
Africa,Central African Republic,2020/11/1,1007.503,12.837,4829764,7.479
Africa,Chad,2020/11/1,90.284,5.966,16425859,11.833
South America,Chile,2020/11/1,26692.322,743.191,19116209,24.282
Asia,China,2020/11/1,63.449,3.293,1439323774,147.674
South America,Colombia,2020/11/1,21110.91,615.413,50882884,44.223
Africa,Comoros,2020/11/1,626.729,8.05,869595,437.352
Africa,Congo,2020/11/1,958.665,16.672,5518092,15.405
North America,Costa Rica,2020/11/1,21587.856,271.882,5094114,96.079
Africa,Cote d'Ivoire,2020/11/1,785.343,4.777,26378275,76.399
Europe,Croatia,2020/11/1,12012.858,133,4105268,73.726
North America,Cuba,2020/11/1,608.037,11.301,11326616,110.408
North America,Curacao,2020/11/1,5911.03,6.094,164100,362.644
Europe,Cyprus,2020/11/1,4984.593,29.684,875899,127.657
Europe,Czech Republic,2020/11/1,31291.676,303.577,10708982,137.176
Africa,Democratic Republic of Congo,2020/11/1,126.226,3.417,89561404,35.879
Europe,Denmark,2020/11/1,8002.309,124.478,5792203,136.52
Africa,Djibouti,2020/11/1,5628.531,61.741,988002,41.285
North America,Dominica,2020/11/1,583.406,,71991,98.567
North America,Dominican Republic,2020/11/1,11708.99,206.952,10847904,222.873
South America,Ecuador,2020/11/1,9533.04,718.129,17643060,66.939
Africa,Egypt,2020/11/1,1051.015,61.231,102334403,97.999
North America,El Salvador,2020/11/1,5156.331,150.936,6486201,307.811
Africa,Equatorial Guinea,2020/11/1,3626.553,59.16,1402985,45.194
Africa,Eritrea,2020/11/1,130.554,,3546427,44.304
Europe,Estonia,2020/11/1,3697.592,55.03,1326539,31.033
Africa,Ethiopia,2020/11/1,836.517,12.778,114963583,104.957
Europe,Faeroe Islands,2020/11/1,10129.95,,48865,35.308
South America,Falkland Islands,2020/11/1,3732.415,,3483,
Oceania,Fiji,2020/11/1,37.928,2.231,896444,49.562
Europe,Finland,2020/11/1,2908.107,64.613,5540718,18.136
Europe,France,2020/11/1,20906.26,563.598,65273512,122.578
Oceania,French Polynesia,2020/11/1,25852.248,103.238,280904,77.324
Africa,Gabon,2020/11/1,4029.243,24.711,2225728,7.859
Africa,Gambia,2020/11/1,1519.45,49.241,2416664,207.566
Asia,Georgia,2020/11/1,10209.379,83.977,3989175,65.032
Europe,Germany,2020/11/1,6360.765,125.096,83783945,237.016
Africa,Ghana,2020/11/1,1548.743,10.298,31072945,126.719
Europe,Gibraltar,2020/11/1,20688.018,,33691,3457.1
Europe,Greece,2020/11/1,3765.786,60.059,10423056,83.479
North America,Greenland,2020/11/1,299.443,,56772,0.137
North America,Grenada,2020/11/1,248.847,,112519,317.132
Oceania,Guam,2020/11/1,27787.159,468.057,168783,304.128
North America,Guatemala,2020/11/1,6024.872,208.143,17915567,157.834
Europe,Guernsey,2020/11/1,3996.898,193.879,67052,
Africa,Guinea,2020/11/1,919.226,5.482,13132792,51.755
Africa,Guinea-Bissau,2020/11/1,1226.119,20.833,1967998,66.191
South America,Guyana,2020/11/1,5291.402,157.649,786559,3.952
North America,Haiti,2020/11/1,794.034,20.346,11402533,398.448
North America,Honduras,2020/11/1,9834.211,269.773,9904608,82.805
Asia,Hong Kong,2020/11/1,,,7496988,7039.714
Europe,Hungary,2020/11/1,8198.357,188.295,9660350,108.043
Europe,Iceland,2020/11/1,14256.41,35.165,341250,3.404
Asia,India,2020/11/1,5930.475,88.486,1380004385,450.419
Asia,Indonesia,2020/11/1,1499.278,50.705,273523621,145.725
Asia,Iran,2020/11/1,7295.517,415.082,83992953,49.831
Asia,Iraq,2020/11/1,11750.388,271.241,40222503,88.125
Europe,Ireland,2020/11/1,12446.039,387.42,4937796,69.874
